prep,АмальгамыИнтерпозиция,ALL,CI(1),LT_P(1),АппроксИнверсия,ALL,CI(2),LT_P(2),ДвРефлексивИнтерпозиция,ALL,CI(3),LT_P(3),ОтрМестИнтерпозиция,ALL,CI(4),LT_P(4),Удвоение,ALL,CI(5),LT_P(5)
без,1,346943,?,?,1,346943,?,?,0,346943,?,?,2,346943,?,?,4,346943,?,?
в,185,10232237,?,?,387,10232237,?,?,802,10232237,?,?,965,10232237,?,?,37,10232237,?,?
для,112,990769,?,?,0,990769,?,?,467,990769,?,?,383,990769,?,?,1,990769,?,?
до,85,671607,?,?,175,671607,?,?,12,671607,?,?,352,671607,?,?,6,671607,?,?
за,120,1280056,?,?,50,1280056,?,?,302,1280056,?,?,1047,1280056,?,?,60,1280056,?,?
из,41,1448781,?,?,3,1448781,?,?,81,1448781,?,?,127,1448781,?,?,24,1448781,?,?
из-за,22,76941,?,?,1,76941,?,?,0,76941,?,?,15,76941,?,?,2,76941,?,?
из-под,0,28182,?,?,0,28182,?,?,0,28182,?,?,0,28182,?,?,0,28182,?,?
к,66,2021431,?,?,141,2021431,?,?,90,2021431,?,?,764,2021431,?,?,22,2021431,?,?
на,188,4913492,?,?,66,4913492,?,?,549,4913492,?,?,669,4913492,?,?,87,4913492,?,?
над,16,462820,?,?,0,462820,?,?,192,462820,?,?,135,462820,?,?,4,462820,?,?
о,234,1429700,?,?,1,1429700,?,?,422,1429700,?,?,867,1429700,?,?,18,1429700,?,?
от,65,1264660,?,?,10,1264660,?,?,321,1264660,?,?,521,1264660,?,?,38,1264660,?,?
перед,6,246718,?,?,0,246718,?,?,75,246718,?,?,412,246718,?,?,1,246718,?,?
по,4,1792216,?,?,1,1792216,?,?,974,1792216,?,?,268,1792216,?,?,45,1792216,?,?
по-за,0,160,?,?,0,160,?,?,0,160,?,?,0,160,?,?,0,160,?,?
по-над,0,231,?,?,0,231,?,?,0,231,?,?,0,231,?,?,0,231,?,?
по-под,0,0,?,?,0,0,?,?,0,0,?,?,0,0,?,?,0,0,?,?
под,2,383750,?,?,0,383750,?,?,9,383750,?,?,450,383750,?,?,11,383750,?,?
при,1,492442,?,?,1,492442,?,?,2,492442,?,?,756,492442,?,?,2,492442,?,?
про,9,109715,?,?,0,109715,?,?,262,109715,?,?,615,109715,?,?,7,109715,?,?
с,205,4084338,?,?,2,4084338,?,?,646,4084338,?,?,1126,4084338,?,?,59,4084338,?,?
у,60,1337700,?,?,2,1337700,?,?,146,1337700,?,?,126,1337700,?,?,159,1337700,?,?
через,0,269984,?,?,241,269984,?,?,4,269984,?,?,72,269984,?,?,0,269984,?,?
